file_name,altitude,time,surface,distance,run_start,heart_rate,landuse,width,path_index,latitude,speed,cadence,longitude,maxspeed
396.tcx,171.39999389648438,1.382184331e9,asphalt,2413.530029296875,921875,138,farmland,50,210,46.59113919362426,8.817999839782715,93,16.206040224060416,50
396.tcx,172.0,1.382184332e9,asphalt,2422.330078125,921875,138,farmland,50,210,46.59118831157684,8.831000328063965,93,16.205950202420354,50
396.tcx,172.39999389648438,1.382184333e9,asphalt,2431.1201171875,921875,138,farmland,50,210,46.59123810008168,8.82699966430664,93,16.20586101897061,50
396.tcx,172.8000030517578,1.382184334e9,asphalt,2439.7099609375,921875,138,farmland,50,210,46.59128738567233,8.854000091552734,94,16.205774685367942,50
396.tcx,172.8000030517578,1.382184341e9,asphalt,2503.25,921875,138,farmland,50,210,46.591647639870644,9.14900016784668,96,16.2051310390234,50
396.tcx,172.8000030517578,1.382184345e9,asphalt,2540.5400390625,921875,138,farmland,50,210,46.59185752272606,9.284000396728516,99,16.204751506447792,50
396.tcx,172.8000030517578,1.382184352e9,asphalt,2606.469970703125,921875,138,farmland,50,210,46.59223822876811,9.494000434875488,100,16.204091850668192,50
396.tcx,172.8000030517578,1.382184359e9,asphalt,2672.68994140625,921875,138,farmland,50,210,46.59261239692569,9.416000366210938,99,16.20341945439577,50
396.tcx,172.8000030517578,1.382184366e9,asphalt,2738.6298828125,921875,138,farmland,50,210,46.592984553426504,9.385000228881836,99,16.20274948887527,50
396.tcx,172.8000030517578,1.382184371e9,asphalt,2785.27001953125,921875,138,farmland,50,210,46.59324833191931,9.270999908447266,99,16.20227607898414,50
396.tcx,172.8000030517578,1.382184378e9,asphalt,2852.010009765625,921875,138,farmland,50,210,46.59362786449492,9.52400016784668,102,16.2016012519598,50
396.tcx,172.8000030517578,1.382184381e9,asphalt,2881.199951171875,921875,138,farmland,50,210,46.59379407763481,9.661999702453613,101,16.201306292787194,50
396.tcx,172.8000030517578,1.382184388e9,asphalt,2949.06005859375,921875,138,farmland,50,210,46.59418132156134,9.677000045776367,100,16.200621910393238,50
396.tcx,172.8000030517578,1.382184393e9,asphalt,2996.429931640625,921875,138,farmland,50,210,46.594452476128936,9.241000175476074,98,16.200144980102777,70
396.tcx,172.8000030517578,1.3821844e9,asphalt,3061.6201171875,921875,138,farmland,50,210,46.59482169896364,9.375,100,16.199484150856733,70
396.tcx,172.8000030517578,1.382184405e9,asphalt,3108.7900390625,921875,138,industrial,50,210,46.59506427124143,9.477999687194824,100,16.198979392647743,70
396.tcx,172.8000030517578,1.382184412e9,asphalt,3174.22998046875,921875,138,farmland,50,210,46.59528421238065,9.456000328063965,99,16.198177747428417,50
396.tcx,172.8000030517578,1.382184413e9,asphalt,3183.489990234375,921875,138,farmland,50,210,46.595312375575304,9.303000450134277,99,16.198062999174,90
396.tcx,172.8000030517578,1.382184419e9,asphalt,3239.489990234375,921875,138,farmland,50,210,46.59546894952655,9.28600025177002,98,16.197366379201412,90
396.tcx,172.8000030517578,1.382184426e9,asphalt,3305.239990234375,921875,138,farmland,50,210,46.59565611742437,9.364999771118164,98,16.196552412584424,90
396.tcx,172.8000030517578,1.382184428e9,asphalt,3324.0,921875,138,farmland,50,210,46.59570976160467,9.362000465393066,98,16.196320401504636,90
